PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH
0,Northern Air Cargo Inc.,UNK,"Unalakleet, AK",KSM,"St. Mary's, AK",1
,,,,,,
0,Northern Air Cargo Inc.,UNK,"Unalakleet, AK",MCG,"McGrath, AK",1
,,,,,,
0,Iliamna Air Taxi,ILI,"Iliamna, AK",KNK,"Kokhanok, AK",1
,,,,,,
0,Iliamna Air Taxi,ILI,"Iliamna, AK",NNL,"Nondalton, AK",1
,,,,,,
0,Iliamna Air Taxi,ILI,"Iliamna, AK",PDB,"Pedro Bay, AK",1
,,,,,,
0,Iliamna Air Taxi,ILI,"Iliamna, AK",PDB,"Pedro Bay, AK",1
,,,,,,
0,Iliamna Air Taxi,PDB,"Pedro Bay, AK",ILI,"Iliamna, AK",1
,,,,,,
0,Smokey Bay Air Inc.,PGM,"Port Graham, AK",SOV,"Seldovia, AK",1
,,,,,,
0,Smokey Bay Air Inc.,SOV,"Seldovia, AK",KEB,"Nanwalek, AK",1
,,,,,,
0,Smokey Bay Air Inc.,SOV,"Seldovia, AK",PGM,"Port Graham, AK",1
,,,,,,
0,Frontier Flying Service,ANC,"Anchorage, AK",BRW,"Barrow, AK",1
,,,,,,
0,Frontier Flying Service,ANC,"Anchorage, AK",BTI,"Barter Island, AK",1
,,,,,,
0,Frontier Flying Service,ANC,"Anchorage, AK",FAI,"Fairbanks, AK",1
,,,,,,
0,Frontier Flying Service,ANC,"Anchorage, AK",FYU,"Fort Yukon, AK",1
,,,,,,
0,Frontier Flying Service,ANC,"Anchorage, AK",GAL,"Galena, AK",1
,,,,,,
0,Frontier Flying Service,ANC,"Anchorage, AK",NUI,"Nuiqsut, AK",1
,,,,,,
0,Frontier Flying Service,ANC,"Anchorage, AK",RBY,"Ruby, AK",1
,,,,,,
0,Frontier Flying Service,ANC,"Anchorage, AK",SCC,"Deadhorse, AK",1
,,,,,,
0,Frontier Flying Service,FAI,"Fairbanks, AK",AET,"Allakaket, AK",1
,,,,,,
0,Frontier Flying Service,FAI,"Fairbanks, AK",AKP,"Anaktuvuk Pass, AK",1
,,,,,,
0,Frontier Flying Service,FAI,"Fairbanks, AK",UTO,"Utopia, AK",1
,,,,,,
0,Frontier Flying Service,SCC,"Deadhorse, AK",BRW,"Barrow, AK",1
,,,,,,
0,Frontier Flying Service,SCC,"Deadhorse, AK",BTI,"Barter Island, AK",1
,,,,,,
0,Frontier Flying Service,SCC,"Deadhorse, AK",BTI,"Barter Island, AK",1
,,,,,,
0,Frontier Flying Service,SCC,"Deadhorse, AK",NUI,"Nuiqsut, AK",1
,,,,,,
0,Warbelow,FYU,"Fort Yukon, AK",IRC,"Circle, AK",1
,,,,,,
0,Warbelow,FYU,"Fort Yukon, AK",SVS,"Stevens Village, AK",1
,,,,,,
0,Warbelow,FYU,"Fort Yukon, AK",WBQ,"Beaver, AK",1
,,,,,,
0,Warbelow,HSL,"Huslia, AK",FAI,"Fairbanks, AK",1
,,,,,,
0,Era Aviation,DUT,"Unalaska, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Era Aviation,GAL,"Galena, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,ANC,"Anchorage, AK",ENA,"Kenai, AK",1
,,,,,,
0,Arctic Transportation,ANC,"Anchorage, AK",RQI,"Nixon Fork Mine, AK",1
,,,,,,
0,Arctic Transportation,ANC,"Anchorage, AK",TYE,"Tyonek, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",ANV,"Anvik, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",CHU,"Chuathbaluk, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",CKD,"Crooked Creek, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",HCR,"Holy Cross, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",KGX,"Grayling, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",KLG,"Kalskag, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",RDV,"Red Devil, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",RSH,"Russian Mission, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",SHX,"Shageluk, AK",1
,,,,,,
0,Arctic Transportation,ANI,"Aniak, AK",SLQ,"Sleetmute, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",AKI,"Akiak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",ANI,"Aniak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",ATT,"Atmautluak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",CYF,"Chefornak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",EEK,"Eek, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",EMK,"Emmonak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",EMK,"Emmonak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",GNU,"Goodnews Bay, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",HPB,"Hooper Bay, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",KKH,"Kongiganak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",KKI,"Akiachak, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",KLG,"Kalskag, AK",1
,,,,,,
0,Arctic Transportation,BET,"Bethel, AK",KPN,"Kipnuk, AK",1
,,,,,,
